player_name,team_name,owner_name,owner_status,batting_points,bowling_points,fielding_points,playing_points,total_points
Mohammed Shami,Lucknow Super Giants,Vaibhav,current,35.0,298.0,24.0,52.0,409.0
Mohsin Khan,Lucknow Super Giants,Vamsi,current,-4.0,333.0,16.0,28.0,373.0
N Pooran,Lucknow Super Giants,Sailesh,past,315.0,0.0,52.0,56.0,423.0
Prince Yadav,Lucknow Super Giants,Vamsi,current,0.0,438.0,32.0,56.0,526.0
RR Pant,Lucknow Super Giants,Prabhanjan,current,413.0,0.0,92.0,56.0,561.0
Shahbaz Ahmed,Lucknow Super Giants,Bhuvan,past,78.0,125.0,0.0,20.0,223.0
AM Ghazanfar,Mumbai Indians,Vamsi,current,2.0,393.0,8.0,44.0,447.0
Ashwani Kumar,Mumbai Indians,Vaibhav,current,1.0,156.0,0.0,12.0,169.0
C Bosch,Mumbai Indians,,,69.0,330.0,38.0,24.0,461.0
DL Chahar,Mumbai Indians,,,30.0,208.0,8.0,32.0,278.0
DV Malewar,Mumbai Indians,,,0.0,0.0,0.0,8.0,8.0
HH Pandya,Mumbai Indians,Vaibhav,current,275.0,90.0,16.0,40.0,421.0
JJ Bumrah,Mumbai Indians,Vamsi,current,8.0,114.0,20.0,52.0,194.0
Krish Bhagat,Mumbai Indians,,,4.0,-2.0,8.0,12.0,22.0
M Markande,Mumbai Indians,,,0.0,-8.0,8.0,12.0,12.0
MJ Santner,Mumbai Indians,Prabhanjan,past,31.0,133.0,16.0,16.0,196.0
Mayank Rawat,Mumbai Indians,,,0.0,0.0,0.0,4.0,4.0
Naman Dhir,Mumbai Indians,Prabhanjan,current,421.0,0.0,76.0,56.0,553.0
Q de Kock,Mumbai Indians,Prabhanjan,current,179.0,0.0,28.0,12.0,219.0
R Minz,Mumbai Indians,,,7.0,0.0,0.0,8.0,15.0
RA Bawa,Mumbai Indians,,,17.0,52.0,24.0,12.0,105.0
RD Rickelton,Mumbai Indians,,,631.0,0.0,76.0,48.0,755.0
RG Sharma,Mumbai Indians,Bhuvan,current,386.0,0.0,0.0,36.0,422.0
Raghu Sharma,Mumbai Indians,,,0.0,23.0,8.0,24.0,55.0
SA Yadav,Mumbai Indians,Vamsi,current,356.0,0.0,24.0,52.0,432.0
SE Rutherford,Mumbai Indians,Nishant,past,164.0,0.0,8.0,32.0,204.0
SN Thakur,Mumbai Indians,,,22.0,302.0,6.0,36.0,366.0
TA Boult,Mumbai Indians,Prabhanjan,past,10.0,46.0,8.0,20.0,84.0
Tilak Varma,Mumbai Indians,Vamsi,current,473.0,0.0,100.0,56.0,629.0
WG Jacks,Mumbai Indians,Om,current,195.0,50.0,16.0,28.0,289.0
Arshdeep Singh,Punjab Kings,Nishant,current,1.0,340.0,32.0,56.0,429.0
Azmatullah Omarzai,Punjab Kings,Sailesh,past,77.0,75.0,0.0,12.0,164.0
BJ Dwarshuis,Punjab Kings,,,0.0,19.0,8.0,4.0,31.0
C Connolly,Punjab Kings,Prabhanjan,current,692.0,0.0,44.0,56.0,792.0
Harpreet Brar,Punjab Kings,Vaibhav,past,6.0,60.0,8.0,8.0,82.0
LH Ferguson,Punjab Kings,,,0.0,11.0,0.0,12.0,23.0
M Jansen,Punjab Kings,Prabhanjan,current,64.0,217.0,56.0,52.0,389.0
MP Stoinis,Punjab Kings,Bhuvan,current,295.0,44.0,14.0,52.0,405.0
N Wadhera,Punjab Kings,Nishant,past,79.0,0.0,16.0,32.0,127.0
P Dubey,Punjab Kings,,,0.0,0.0,16.0,0.0,16.0
P Simran Singh,Punjab Kings,Vamsi,current,701.0,0.0,74.0,56.0,831.0
Priyansh Arya,Punjab Kings,Vaibhav,current,519.0,0.0,16.0,52.0,587.0
SS Iyer,Punjab Kings,Nishant,current,695.0,0.0,64.0,56.0,815.0
Shashank Singh,Punjab Kings,Prabhanjan,current,177.0,100.0,8.0,48.0,333.0
Suryansh Shedge,Punjab Kings,,,215.0,0.0,24.0,28.0,267.0
Vijaykumar Vyshak,Punjab Kings,Nishant,current,2.0,207.0,20.0,40.0,269.0
Vishnu Vinod,Punjab Kings,,,18.0,0.0,0.0,4.0,22.0
XC Bartlett,Punjab Kings,Prabhanjan,current,33.0,101.0,80.0,36.0,250.0
YS Chahal,Punjab Kings,Om,current,0.0,302.0,24.0,56.0,382.0
Yash Thakur,Punjab Kings,,,0.0,52.0,0.0,4.0,56.0
AF Milne,Rajasthan Royals,,,2.0,-6.0,0.0,4.0,0.0
Brijesh Sharma,Rajasthan Royals,Nishant,current,2.0,367.0,8.0,44.0,421.0
D Ferreira,Rajasthan Royals,Prabhanjan,current,376.0,25.0,88.0,52.0,541.0
Dhruv Jurel,Rajasthan Royals,Bhuvan,current,613.0,0.0,176.0,56.0,845.0
JC Archer,Rajasthan Royals,Vamsi,current,72.0,589.0,58.0,56.0,775.0
LG Pretorius,Rajasthan Royals,,,5.0,0.0,0.0,8.0,13.0
MD Shanaka,Rajasthan Royals,,,73.0,31.0,8.0,20.0,132.0
N Burger,Rajasthan Royals,Nishant,current,15.0,261.0,24.0,44.0,344.0
R Parag,Rajasthan Royals,Om,current,369.0,50.0,32.0,48.0,499.0
RA Jadeja,Rajasthan Royals,Bhuvan,current,263.0,224.0,14.0,48.0,549.0
Ravi Bishnoi,Rajasthan Royals,Vaibhav,current,-4.0,283.0,40.0,36.0,355.0
Ravi Singh,Rajasthan Royals,,,5.0,0.0,12.0,4.0,21.0
SB Dubey,Rajasthan Royals,,,111.0,0.0,0.0,28.0,139.0
SO Hetmyer,Rajasthan Royals,Vamsi,current,87.0,0.0,50.0,32.0,169.0
SS Mishra,Rajasthan Royals,,,0.0,-4.0,0.0,4.0,0.0
Sandeep Sharma,Rajasthan Royals,Vamsi,past,0.0,113.0,24.0,24.0,161.0
TU Deshpande,Rajasthan Royals,,,38.0,76.0,22.0,24.0,160.0
V Suryavanshi,Rajasthan Royals,Vaibhav,current,859.0,0.0,8.0,56.0,923.0
YBK Jaiswal,Rajasthan Royals,Om,current,551.0,0.0,44.0,56.0,651.0
Yash Raj Punja,Rajasthan Royals,,,0.0,214.0,0.0,24.0,238.0
Abhinandan Singh,Royal Challengers Bengaluru,,,0.0,63.0,16.0,12.0,91.0
B Kumar,Royal Challengers Bengaluru,Om,current,39.0,676.0,14.0,56.0,785.0
D Padikkal,Royal Challengers Bengaluru,Vaibhav,current,613.0,0.0,106.0,56.0,775.0
