player_name,team_name,batting_points,bowling_points,fielding_points,playing_points,total_points
Washington Sundar,Gujarat Titans,415.0,31.0,48.0,56.0,550.0
A Raghuvanshi,Kolkata Knight Riders,566.0,0.0,58.0,52.0,676.0
AM Rahane,Kolkata Knight Riders,430.0,0.0,64.0,56.0,550.0
AS Roy,Kolkata Knight Riders,61.0,229.0,84.0,56.0,430.0
B Muzarabani,Kolkata Knight Riders,0.0,102.0,0.0,8.0,110.0
C Green,Kolkata Knight Riders,436.0,153.0,64.0,56.0,709.0
CV Varun,Kolkata Knight Riders,4.0,287.0,22.0,44.0,357.0
FH Allen,Kolkata Knight Riders,494.0,0.0,8.0,44.0,546.0
Kartik Tyagi,Kolkata Knight Riders,12.0,448.0,38.0,56.0,554.0
M Pathirana,Kolkata Knight Riders,0.0,0.0,0.0,4.0,4.0
MK Pandey,Kolkata Knight Riders,92.0,0.0,32.0,24.0,148.0
Navdeep Saini,Kolkata Knight Riders,0.0,-6.0,0.0,8.0,2.0
R Powell,Kolkata Knight Riders,250.0,0.0,48.0,44.0,342.0
RK Singh,Kolkata Knight Riders,395.0,0.0,98.0,56.0,549.0
Ramandeep Singh,Kolkata Knight Riders,98.0,19.0,40.0,32.0,189.0
SP Narine,Kolkata Knight Riders,50.0,489.0,24.0,52.0,615.0
SR Dubey,Kolkata Knight Riders,5.0,135.0,0.0,16.0,156.0
T Dahiya,Kolkata Knight Riders,14.0,0.0,8.0,8.0,30.0
TL Seifert,Kolkata Knight Riders,21.0,0.0,34.0,12.0,67.0
VG Arora,Kolkata Knight Riders,1.0,267.0,22.0,44.0,334.0
A Badoni,Lucknow Super Giants,288.0,0.0,20.0,40.0,348.0
A Nortje,Lucknow Super Giants,-2.0,0.0,0.0,4.0,2.0
AA Kulkarni,Lucknow Super Giants,16.0,0.0,0.0,8.0,24.0
AK Markram,Lucknow Super Giants,305.0,6.0,64.0,48.0,423.0
Abdul Samad,Lucknow Super Giants,152.0,0.0,16.0,32.0,200.0
Akash Singh,Lucknow Super Giants,0.0,100.0,8.0,8.0,116.0
Akshat Raghuwanshi,Lucknow Super Giants,32.0,0.0,8.0,12.0,52.0
Arjun Tendulkar,Lucknow Super Giants,5.0,33.0,8.0,4.0,50.0
Avesh Khan,Lucknow Super Giants,7.0,150.0,16.0,28.0,201.0
DS Rathi,Lucknow Super Giants,2.0,115.0,32.0,40.0,189.0
GF Linde,Lucknow Super Giants,41.0,25.0,0.0,12.0,78.0
Himmat Singh,Lucknow Super Giants,115.0,0.0,8.0,24.0,147.0
JP Inglis,Lucknow Super Giants,366.0,0.0,8.0,20.0,394.0
M Siddharth,Lucknow Super Giants,0.0,142.0,16.0,16.0,174.0
MD Choudhary,Lucknow Super Giants,227.0,0.0,24.0,40.0,291.0
MP Yadav,Lucknow Super Giants,6.0,-16.0,0.0,16.0,6.0
MR Marsh,Lucknow Super Giants,772.0,0.0,32.0,52.0,856.0
Mohammed Shami,Lucknow Super Giants,35.0,298.0,24.0,52.0,409.0
Mohsin Khan,Lucknow Super Giants,-4.0,333.0,16.0,28.0,373.0
N Pooran,Lucknow Super Giants,315.0,0.0,52.0,56.0,423.0
Prince Yadav,Lucknow Super Giants,0.0,438.0,32.0,56.0,526.0
RR Pant,Lucknow Super Giants,413.0,0.0,92.0,56.0,561.0
Shahbaz Ahmed,Lucknow Super Giants,78.0,125.0,0.0,20.0,223.0
AM Ghazanfar,Mumbai Indians,2.0,393.0,8.0,44.0,447.0
Ashwani Kumar,Mumbai Indians,1.0,156.0,0.0,12.0,169.0
C Bosch,Mumbai Indians,69.0,330.0,38.0,24.0,461.0
DL Chahar,Mumbai Indians,30.0,208.0,8.0,32.0,278.0
DV Malewar,Mumbai Indians,0.0,0.0,0.0,8.0,8.0
HH Pandya,Mumbai Indians,275.0,90.0,16.0,40.0,421.0
JJ Bumrah,Mumbai Indians,8.0,114.0,20.0,52.0,194.0
Krish Bhagat,Mumbai Indians,4.0,-2.0,8.0,12.0,22.0
M Markande,Mumbai Indians,0.0,-8.0,8.0,12.0,12.0
MJ Santner,Mumbai Indians,31.0,133.0,16.0,16.0,196.0
Mayank Rawat,Mumbai Indians,0.0,0.0,0.0,4.0,4.0
Naman Dhir,Mumbai Indians,421.0,0.0,76.0,56.0,553.0
Q de Kock,Mumbai Indians,179.0,0.0,28.0,12.0,219.0
R Minz,Mumbai Indians,7.0,0.0,0.0,8.0,15.0
RA Bawa,Mumbai Indians,17.0,52.0,24.0,12.0,105.0
RD Rickelton,Mumbai Indians,631.0,0.0,76.0,48.0,755.0
RG Sharma,Mumbai Indians,386.0,0.0,0.0,36.0,422.0
Raghu Sharma,Mumbai Indians,0.0,23.0,8.0,24.0,55.0
SA Yadav,Mumbai Indians,356.0,0.0,24.0,52.0,432.0
SE Rutherford,Mumbai Indians,164.0,0.0,8.0,32.0,204.0
SN Thakur,Mumbai Indians,22.0,302.0,6.0,36.0,366.0
TA Boult,Mumbai Indians,10.0,46.0,8.0,20.0,84.0
Tilak Varma,Mumbai Indians,473.0,0.0,100.0,56.0,629.0
WG Jacks,Mumbai Indians,195.0,50.0,16.0,28.0,289.0
Arshdeep Singh,Punjab Kings,1.0,340.0,32.0,56.0,429.0
Azmatullah Omarzai,Punjab Kings,77.0,75.0,0.0,12.0,164.0
BJ Dwarshuis,Punjab Kings,0.0,19.0,8.0,4.0,31.0
C Connolly,Punjab Kings,692.0,0.0,44.0,56.0,792.0
Harpreet Brar,Punjab Kings,6.0,60.0,8.0,8.0,82.0
LH Ferguson,Punjab Kings,0.0,11.0,0.0,12.0,23.0
M Jansen,Punjab Kings,64.0,217.0,56.0,52.0,389.0
MP Stoinis,Punjab Kings,295.0,44.0,14.0,52.0,405.0
N Wadhera,Punjab Kings,79.0,0.0,16.0,32.0,127.0
P Dubey,Punjab Kings,0.0,0.0,16.0,0.0,16.0
P Simran Singh,Punjab Kings,701.0,0.0,74.0,56.0,831.0
Priyansh Arya,Punjab Kings,519.0,0.0,16.0,52.0,587.0
SS Iyer,Punjab Kings,695.0,0.0,64.0,56.0,815.0
